id,tournament_id,match_id,duel_format,time_utc,custom_time,player_1_id,player_2_id,dw1,dw2,status,created_at,updated_at,updated_by,deleted_by,deleted_at,created_by,duel_number,results_last_error,results_checked_at,rating_full,rating
lineup-a7490a7f2869,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,84216333,87486879,2,1,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,4,,,,
lineup-0b7e91f77460,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,90995279,97238273,0,2,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,5,,,,
lineup-4a5d923cf58b,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,89706622,84539193,2,0,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,6,,,,
lineup-9ea17722a8cc,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,92738595,96885694,2,1,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,7,,,,
20260329-40cecc1828af,Friendly-Matches,20260329UKRARG,Bo3,2026-03-29T13:51:00.000Z,0,97238273,85633683,,,Planned,"2026-03-17 11:51:55","2026-03-17 11:52:00",84375106,84375106,"2026-03-17 11:52:00",84375106,1,,,,
20260318-9e60e16a5272,Friendly-Matches,20260318HRVUKR,Bo3,2026-03-18T20:00:00.000Z,0,88411255,94546376,2,1,Done,"2026-03-17 21:47:50","2026-03-27 14:19:10",88411255,,,88411255,1,,"2026-03-27 14:19:10",,
20260318-0a543d42b249,Friendly-Matches,20260318HRVUKR,Bo3,2026-03-18T20:00:00.000Z,0,85397297,87903300,1,2,Done,"2026-03-17 21:47:50","2026-03-27 13:45:15",88411255,,,88411255,2,,,,
20260318-9d1aa7197885,Friendly-Matches,20260318HRVUKR,Bo3,2026-03-18T20:00:00.000Z,0,85431140,96490976,2,0,Done,"2026-03-17 21:47:50","2026-03-27 14:19:10",88411255,,,88411255,3,,"2026-03-27 14:19:10",,
20260318-c4ef1218fdb8,Friendly-Matches,20260318HRVUKR,Bo3,2026-03-18T20:00:00.000Z,0,84823639,94099302,1,2,Done,"2026-03-17 21:47:50","2026-03-27 14:19:10",88411255,,,88411255,4,,"2026-03-27 14:19:10",,
20260318-4bfdcf53cfed,Friendly-Matches,20260318HRVUKR,Bo3,2026-03-18T20:00:00.000Z,0,95122337,93914523,0,2,Done,"2026-03-17 21:47:50","2026-03-27 13:45:15",88411255,,,88411255,5,,,,
20260318-1c7aa2e67181,Friendly-Matches,20260318HRVUKR,Bo3,2026-03-18T20:00:00.000Z,0,86611873,41973045,0,2,Done,"2026-03-17 21:47:50","2026-03-27 13:45:15",88411255,,,88411255,6,,,,
20260319-56f64a42566e,Friendly-Matches,20260319COLGTM,Bo3,2026-03-19T01:00:00.000Z,0,84992441,84019956,0,2,Done,"2026-03-18 05:03:19","2026-04-05 16:52:04",84375106,,,88813461,1,,"2026-04-04 13:17:48",0.924883326610482,1
20260319-f1ac9cebcb99,Friendly-Matches,20260319COLGTM,Bo3,2026-03-19T01:00:00.000Z,0,88551769,87462286,,,Planned,"2026-03-18 05:03:19","2026-03-19 01:43:58",88813461,88813461,"2026-03-19 01:43:58",88813461,2,,,,
20260319-046b9e499f08,Friendly-Matches,20260319COLGTM,Bo3,2026-03-19T01:00:00.000Z,0,89578443,95839227,2,0,Done,"2026-03-18 05:03:19","2026-04-05 16:52:04",84375106,,,88813461,2,,"2026-04-04 13:17:48",1.88416981816679,2
20260319-4e909811c75c,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,87780646,84375106,,,Planned,"2026-03-18 08:31:16","2026-03-18 08:31:35",84375106,84375106,"2026-03-18 08:31:35",84375106,1,,,,
20260319-f5ef756c32bc,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,87911441,97238273,,,Planned,"2026-03-18 08:41:49","2026-03-18 08:42:26",84375106,84375106,"2026-03-18 08:42:26",84375106,2,,,,
20260319-896ac05a1358,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,85373043,86771532,,,Planned,"2026-03-18 08:42:14","2026-03-18 08:42:26",84375106,84375106,"2026-03-18 08:42:26",84375106,1,,,,
20260319-c2b90312e2f1,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,313542,87486879,0,2,Done,"2026-03-18 09:59:23","2026-03-27 14:19:10",84375106,,,83851128,1,,"2026-03-27 14:19:10",,
20260319-47b4aacead58,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,87780646,93631741,2,0,Done,"2026-03-18 09:59:23","2026-03-27 14:19:10",84375106,,,83851128,2,,"2026-03-27 14:19:10",,
20260319-6d4317e34c84,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,83851128,94099302,2,0,Done,"2026-03-18 09:59:23","2026-03-27 14:19:10",84375106,,,83851128,3,,"2026-03-27 14:19:10",,
20260319-81f42ce4fd4c,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,96880534,41973045,0,2,Done,"2026-03-18 09:59:23","2026-03-27 14:19:10",84375106,,,83851128,4,,"2026-03-27 14:19:10",,
20260319-2ae1f9fb1d89,Friendly-Matches,20260319ROUUKR,Bo3,2026-03-19T20:00:00.000Z,0,84069307,95673062,0,2,Done,"2026-03-18 09:59:23","2026-03-27 14:19:10",84375106,,,83851128,5,,"2026-03-27 14:19:10",,
lineup-c3c8f832cfd2,Friendly-Matches,20260324ITAUKR,Bo3,2026-03-24T20:00:00.000Z,0,93267653,87903300,2,0,Done,"2026-03-18 14:32:06","2026-03-28 07:30:30",84375106,,,93119390,1,,"2026-03-28 07:30:30",4.35405668330894,4
lineup-440b8387827e,Friendly-Matches,20260324ITAUKR,Bo3,2026-03-24T20:00:00.000Z,0,84461619,84512971,0,2,Done,"2026-03-18 14:32:06","2026-03-28 07:30:30",84375106,,,93119390,2,,"2026-03-28 07:30:30",2.43931541464998,2
lineup-aacf3f0f0587,Friendly-Matches,20260324ITAUKR,Bo3,2026-03-24T20:00:00.000Z,0,89833062,92416909,0,2,Done,"2026-03-18 14:32:06","2026-03-28 07:30:30",84375106,,,93119390,3,,"2026-03-28 07:30:30",1.82228175896097,2
lineup-d40fd88aee47,Friendly-Matches,20260324ITAUKR,Bo3,2026-03-24T20:00:00.000Z,0,93119390,96490976,2,1,Done,"2026-03-18 14:32:06","2026-03-28 07:30:30",84375106,,,93119390,4,,"2026-03-28 07:30:30",3.88196258721268,4
lineup-a16328a608e7,Friendly-Matches,20260324ITAUKR,Bo3,2026-03-24T20:00:00.000Z,0,84885491,88450070,2,1,Done,"2026-03-18 14:32:06","2026-03-28 07:30:30",84375106,,,93119390,5,,"2026-03-28 07:30:30",3.53099559196128,4
20260319-c3349521616b,Friendly-Matches,20260319COLGTM,Bo3,2026-03-19T01:00:00.000Z,0,91319248,88017503,1,2,Done,"2026-03-18 18:45:33","2026-04-05 16:52:04",84375106,,,84019956,3,,"2026-04-04 13:17:48",0.0,0
20260319-6692ffb9fe80,Friendly-Matches,20260319COLGTM,Bo3,2026-03-19T01:00:00.000Z,0,99408461,94406936,0,2,Done,"2026-03-18 21:34:36","2026-04-05 16:52:04",88813461,,,88813461,4,,"2026-04-04 13:17:48",0.0,0
20260322-aaa5c1b5d6f3,Friendly-Matches,20260322LVABRA,Bo3,2026-03-22T18:00:00.000Z,0,90355270,94669974,1,2,Done,"2026-03-19 15:01:44","2026-03-27 15:59:45",84375106,,,14710161,1,,"2026-03-27 15:59:45",,
20260322-daf6a6c541ea,Friendly-Matches,20260322LVABRA,Bo3,2026-03-22T18:00:00.000Z,0,94238979,88026513,0,2,Done,"2026-03-19 15:01:44","2026-03-27 15:59:45",84375106,,,14710161,2,,"2026-03-27 15:59:45",,
20260322-c2efae71c70a,Friendly-Matches,20260322LVABRA,Bo3,2026-03-22T18:00:00.000Z,0,94385542,95294269,1,2,Done,"2026-03-19 15:01:44","2026-03-27 15:59:45",84375106,,,14710161,3,,"2026-03-27 15:59:45",,
20260322-b5bf42ae88bf,Friendly-Matches,20260322LVABRA,Bo3,2026-03-22T18:00:00.000Z,0,14710161,92373177,1,2,Done,"2026-03-19 15:01:44","2026-03-27 15:59:45",84375106,,,14710161,4,,"2026-03-27 15:59:45",,
20260322-9ed432c0b5ab,Friendly-Matches,20260322LVABRA,Bo3,2026-03-22T18:00:00.000Z,0,97499561,87995425,2,0,Done,"2026-03-19 15:01:44","2026-03-27 15:59:45",84375106,,,14710161,5,,"2026-03-27 15:59:45",,
20260322-251a680017f3,Friendly-Matches,20260322JPNUKR,Bo3,2026-03-22T12:00:00.000Z,0,89548012,97238273,2,0,Done,"2026-03-19 21:46:29","2026-03-27 15:59:45",83858076,,,84375106,1,,"2026-03-27 15:59:45",,
20260322-34e531fae6ee,Friendly-Matches,20260322JPNUKR,Bo3,2026-03-22T12:00:00.000Z,0,94240965,95704683,2,0,Done,"2026-03-19 21:46:29","2026-03-27 15:59:45",83858076,,,84375106,2,,"2026-03-27 15:59:45",,
20260322-a53caa59fbb4,Friendly-Matches,20260322JPNUKR,Bo3,2026-03-22T12:00:00.000Z,0,84481192,84375106,2,1,Done,"2026-03-19 22:13:33","2026-03-27 15:59:45",83858076,,,83858076,3,,"2026-03-27 15:59:45",,
20260322-3bb0b7ee96bf,Friendly-Matches,20260322JPNUKR,Bo3,2026-03-22T12:00:00.000Z,0,96448580,93914523,0,2,Done,"2026-03-19 22:13:33","2026-03-27 15:59:45",83858076,,,83858076,4,,"2026-03-27 15:59:45",,
20260322-9319be8acf35,Friendly-Matches,20260322JPNUKR,Bo3,2026-03-22T12:00:00.000Z,0,91776994,93631741,1,2,Done,"2026-03-19 22:13:33","2026-03-27 15:59:45",83858076,,,83858076,5,,"2026-03-27 15:59:45",,
lineup-6e3c44d0e927,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,90496787,83909717,2,0,Done,"2026-03-19 22:37:04","2026-03-27 16:02:36",83909717,,,86482486,1,,"2026-03-27 16:02:36",,
lineup-c1e78d78f89f,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,86256371,83920993,2,1,Done,"2026-03-19 22:37:04","2026-03-28 07:30:30",83909717,,,86482486,2,,"2026-03-28 07:30:30",3.43844099929484,3
lineup-78f772a3ea32,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,95193522,96173753,1,2,Done,"2026-03-19 22:37:04","2026-03-27 16:02:36",83909717,,,86482486,3,,"2026-03-27 16:02:36",,
lineup-972983211b90,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,86463243,84445410,0,2,Done,"2026-03-19 22:37:04","2026-03-28 07:30:30",83909717,,,86482486,4,,"2026-03-28 07:30:30",2.1254542607413,2
lineup-82d0565ba0bb,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,96897143,89754915,0,2,Done,"2026-03-19 22:37:04","2026-03-27 16:02:36",83909717,,,86482486,5,,"2026-03-27 16:02:36",,
lineup-9c374c8302ee,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,87670119,95498212,2,0,Done,"2026-03-19 22:37:04","2026-03-28 07:30:30",83909717,,,86482486,6,,"2026-03-28 07:30:30",2.61126865546322,3
lineup-83eabd7b72c3,Friendly-Matches,20260323ESPCAT,Bo3,2026-03-23T20:00:00.000Z,0,85173793,86169474,2,1,Done,"2026-03-19 22:37:04","2026-03-27 16:02:36",83909717,,,86482486,7,,"2026-03-27 16:02:36",,
20260321-e436cef32807,Friendly-Matches,20260321CHNPRT,Bo3,2026-03-21T14:00:00.000Z,0,90943003,92686959,2,0,Done,"2026-03-20 15:26:30","2026-03-27 14:19:11",84375106,,,90943003,1,,"2026-03-27 14:19:11",,
20260321-de033f178f64,Friendly-Matches,20260321CHNPRT,Bo3,2026-03-21T14:00:00.000Z,0,90815584,84799895,2,1,Done,"2026-03-20 15:26:30","2026-03-27 14:19:10",84375106,,,90943003,2,,"2026-03-27 14:19:10",,
20260321-ee60a9271eb2,Friendly-Matches,20260321CHNPRT,Bo3,2026-03-21T14:00:00.000Z,0,91852133,95814549,1,2,Done,"2026-03-20 15:26:30","2026-03-27 14:19:11",84375106,,,90943003,3,,"2026-03-27 14:19:11",,
20260321-613ad5781442,Friendly-Matches,20260321CHNPRT,Bo3,2026-03-21T14:00:00.000Z,0,87805107,85119891,2,0,Done,"2026-03-20 15:26:30","2026-03-27 14:19:10",84375106,,,90943003,4,,"2026-03-27 14:19:10",,
20260321-be7cc22952bf,Friendly-Matches,20260321CHNPRT,Bo3,2026-03-21T14:00:00.000Z,0,99226938,84163990,2,1,Done,"2026-03-20 15:26:30","2026-03-27 14:19:10",84375106,,,90943003,5,,"2026-03-27 14:19:10",,
20260321-58ac36f8dc9d,Friendly-Matches,20260321ITACHL,Bo3,2026-03-21T15:00:00.000Z,0,84885491,85405883,2,1,Done,"2026-03-20 17:34:51","2026-03-27 14:19:11",84375106,,,93119390,1,,"2026-03-27 14:19:11",,
20260321-e28e89d9d2ed,Friendly-Matches,20260321ITACHL,Bo3,2026-03-21T15:00:00.000Z,0,93119390,92724402,2,1,Done,"2026-03-20 17:34:51","2026-03-27 15:59:45",84375106,,,93119390,2,,"2026-03-27 15:59:45",,
20260321-6b912f31073d,Friendly-Matches,20260321ITACHL,Bo3,2026-03-21T15:00:00.000Z,0,85718843,96555641,1,2,Done,"2026-03-20 17:34:51","2026-03-27 14:19:11",84375106,,,93119390,3,,"2026-03-27 14:19:11",,
20260321-cebfa6169af5,Friendly-Matches,20260321ITACHL,Bo3,2026-03-21T15:00:00.000Z,0,84461619,90042974,1,2,Done,"2026-03-20 17:34:51","2026-03-27 15:59:45",84375106,,,93119390,4,,"2026-03-27 15:59:45",,
20260321-30a71e7b0115,Friendly-Matches,20260321ITACHL,Bo3,2026-03-21T15:00:00.000Z,0,90206175,92910655,0,2,Done,"2026-03-20 17:34:51","2026-03-27 14:19:11",84375106,,,93119390,5,,"2026-03-27 14:19:11",,
20260322-9b809a5f4b0c,Friendly-Matches,20260322ESPFIN,Bo3,2026-03-22T19:00:00.000Z,0,37324330,87435630,1,2,Done,"2026-03-20 18:34:29","2026-03-27 16:02:35",86482486,,,86482486,1,,"2026-03-27 16:02:35",,
20260322-01ba2e2cdda6,Friendly-Matches,20260322ESPFIN,Bo3,2026-03-22T19:00:00.000Z,0,86482486,90314669,0,2,Done,"2026-03-20 18:34:29","2026-03-27 15:59:45",86482486,,,86482486,2,,"2026-03-27 15:59:45",,
20260322-6cba012f7e04,Friendly-Matches,20260322ESPFIN,Bo3,2026-03-22T19:00:00.000Z,0,93988481,85791078,0,2,Done,"2026-03-20 18:34:29","2026-03-27 16:02:35",86482486,,,86482486,3,,"2026-03-27 16:02:35",,
20260322-ed0528726e45,Friendly-Matches,20260322ESPFIN,Bo3,2026-03-22T19:00:00.000Z,0,88262806,97285807,2,0,Done,"2026-03-20 18:34:29","2026-03-27 16:02:35",86482486,,,86482486,4,,"2026-03-27 16:02:35",,
