id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20250223-87435630-89533460,Friendly-Matches,20250223FINTUT,3,Bo3,23/02/2025 19:00:00,0,87435630,89533460,Planned,84375106
20250223-85330667-95028431,Friendly-Matches,20250223FINTUT,4,Bo3,23/02/2025 19:00:00,0,85330667,95028431,Planned,84375106
20250223-89404935-85313919,Friendly-Matches,20250223FINTUT,5,Bo3,23/02/2025 19:00:00,0,89404935,85313919,Planned,84375106
20250217-93119390-85405883,Friendly-Matches,20250217ITACHL,1,Bo3,17/02/2025 22:00:00,0,93119390,85405883,Planned,84375106
20250217-85718843-92910655,Friendly-Matches,20250217ITACHL,2,Bo3,17/02/2025 22:00:00,0,85718843,92910655,Planned,84375106
20250217-11778383-86876169,Friendly-Matches,20250217ITACHL,3,Bo3,17/02/2025 22:00:00,0,11778383,86876169,Planned,84375106
20250217-84885491-94283048,Friendly-Matches,20250217ITACHL,4,Bo3,17/02/2025 22:00:00,0,84885491,94283048,Planned,84375106
20250217-93267653-95038246,Friendly-Matches,20250217ITACHL,5,Bo3,17/02/2025 22:00:00,0,93267653,95038246,Planned,84375106
20250217-84461619-94165396,Friendly-Matches,20250217ITACHL,6,Bo3,17/02/2025 22:00:00,0,84461619,94165396,Planned,84375106
20250217-89833062-91685138,Friendly-Matches,20250217ITACHL,7,Bo3,17/02/2025 22:00:00,0,89833062,91685138,Planned,84375106
20250217-89523610-96343766,Friendly-Matches,20250217ITACHL,8,Bo3,17/02/2025 22:00:00,0,89523610,96343766,Planned,84375106
20250215-92870188-93308579,Friendly-Matches,20250215ITAHKG,1,Bo3,15/02/2025 13:00:00,0,92870188,93308579,Planned,84375106
20250215-90206175-68743351,Friendly-Matches,20250215ITAHKG,2,Bo3,15/02/2025 13:00:00,0,90206175,68743351,Planned,84375106
20250215-93119390-84445471,Friendly-Matches,20250215ITAHKG,3,Bo3,15/02/2025 13:00:00,0,93119390,84445471,Planned,84375106
20250215-84885491-83915808,Friendly-Matches,20250215ITAHKG,4,Bo3,15/02/2025 13:00:00,0,84885491,83915808,Planned,84375106
20250215-84578617-88457440,Friendly-Matches,20250215ITAHKG,5,Bo3,15/02/2025 13:00:00,0,84578617,88457440,Planned,84375106
20250213-94809980-88382620,Friendly-Matches,20250213HKGTWN,1,Bo3,13/02/2025 14:00:00,0,94809980,88382620,Planned,84375106
20250213-93308579-92210211,Friendly-Matches,20250213HKGTWN,2,Bo3,13/02/2025 14:00:00,0,93308579,92210211,Planned,84375106
20250213-94640494-85087743,Friendly-Matches,20250213HKGTWN,3,Bo3,13/02/2025 14:00:00,0,94640494,85087743,Planned,84375106
20250213-84445471-94638523,Friendly-Matches,20250213HKGTWN,4,Bo3,13/02/2025 14:00:00,0,84445471,94638523,Planned,84375106
20250213-83915808-84862954,Friendly-Matches,20250213HKGTWN,5,Bo3,13/02/2025 14:00:00,0,83915808,84862954,Planned,84375106
20250211-90995279-5833386,Friendly-Matches,20250211BELHRV,1,Bo3,11/02/2025 19:00:00,0,90995279,5833386,Planned,84375106
20250211-84207551-85397297,Friendly-Matches,20250211BELHRV,2,Bo3,11/02/2025 19:00:00,0,84207551,85397297,Planned,84375106
20250211-39136230-95323720,Friendly-Matches,20250211BELHRV,3,Bo3,11/02/2025 19:00:00,0,39136230,95323720,Planned,84375106
20250211-89706622-86611873,Friendly-Matches,20250211BELHRV,4,Bo3,11/02/2025 19:00:00,0,89706622,86611873,Planned,84375106
20250211-1133242-84823639,Friendly-Matches,20250211BELHRV,5,Bo3,11/02/2025 19:00:00,0,1133242,84823639,Planned,84375106
20250211-92738595-94226480,Friendly-Matches,20250211BELHRV,6,Bo3,11/02/2025 19:00:00,0,92738595,94226480,Planned,84375106
20250211-93464744-88411255,Friendly-Matches,20250211BELHRV,7,Bo3,11/02/2025 19:00:00,0,93464744,88411255,Planned,84375106
20250211-84216333-95122337,Friendly-Matches,20250211BELHRV,8,Bo3,11/02/2025 19:00:00,0,84216333,95122337,Planned,84375106
20250211-84142963-95026685,Friendly-Matches,20250211BELHRV,9,Bo3,11/02/2025 19:00:00,0,84142963,95026685,Planned,84375106
20250211-94586198-94419184,Friendly-Matches,20250211BELHRV,10,Bo3,11/02/2025 19:00:00,0,94586198,94419184,Planned,84375106
20250315-91930519-94640494,Friendly-Matches,20250315TUTHKG,1,Bo3,15/03/2025 15:00:00,0,91930519,94640494,Planned,84375106
20250315-88028287-94809980,Friendly-Matches,20250315TUTHKG,2,Bo3,15/03/2025 15:00:00,0,88028287,94809980,Planned,84375106
20250315-89533460-93308579,Friendly-Matches,20250315TUTHKG,3,Bo3,15/03/2025 15:00:00,0,89533460,93308579,Planned,84375106
20250315-85313919-88457440,Friendly-Matches,20250315TUTHKG,4,Bo3,15/03/2025 15:00:00,0,85313919,88457440,Planned,84375106
20250315-95028431-84445471,Friendly-Matches,20250315TUTHKG,5,Bo3,15/03/2025 15:00:00,0,95028431,84445471,Planned,84375106
20250312-88411255-84883533,Friendly-Matches,20250312HRVUKR,1,Bo3,12/03/2025 20:00:00,0,88411255,84883533,Planned,84375106
